timestamp_iso,timestamp_ms,aircraftAltitude,aircraftLatitude,aircraftLongitude,batteryPercentage,currentWaypointMissionPlanner,distanceToHome,droneID,gimbal_PITCH,gimbal_ROLL,gimbal_YAW,headingDroneDegress,homeAltitude,homeLatitude,homeLongitude,isInMission,missionPlan
2025-07-14T15:31:55.773000Z,1752507115773,1.0,55.788,-4.526,44.98,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:55.974000Z,1752507115974,2.0,55.788,-4.526,44.959999999999994,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:56.174000Z,1752507116174,3.0,55.788,-4.526,44.93999999999999,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:56.375000Z,1752507116375,4.0,55.788,-4.526,44.91999999999999,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:56.576000Z,1752507116576,5.0,55.788,-4.526,44.899999999999984,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:56.777000Z,1752507116777,6.0,55.788,-4.526,44.87999999999998,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:56.978000Z,1752507116978,7.0,55.788,-4.526,44.85999999999998,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:57.179000Z,1752507117179,8.0,55.788,-4.526,44.839999999999975,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:57.380000Z,1752507117380,9.0,55.788,-4.526,44.81999999999997,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:57.581000Z,1752507117581,10.0,55.788,-4.526,44.79999999999997,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:57.781000Z,1752507117781,11.0,55.788,-4.526,44.779999999999966,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:57.982000Z,1752507117982,12.0,55.788,-4.526,44.75999999999996,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:58.183000Z,1752507118183,13.0,55.788,-4.526,44.73999999999996,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:58.384000Z,1752507118384,14.0,55.788,-4.526,44.719999999999956,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:58.585000Z,1752507118585,15.0,55.788,-4.526,44.69999999999995,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:58.786000Z,1752507118786,16.0,55.788,-4.526,44.67999999999995,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:58.987000Z,1752507118987,17.0,55.788,-4.526,44.65999999999995,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:59.188000Z,1752507119188,18.0,55.788,-4.526,44.639999999999944,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:59.388000Z,1752507119388,19.0,55.788,-4.526,44.61999999999994,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:59.589000Z,1752507119589,20.0,55.788,-4.526,44.59999999999994,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
2025-07-14T15:31:59.790000Z,1752507119790,21.0,55.788,-4.526,44.579999999999934,,0,drone1,7.6000000000000005,0.0,-71.9,-92.0,0,4.58,4.58,False,
